,x,y,z,v
0,122,29.8,-0.0,1.68119017648
1,122,29.8899320592,-0.0,1.51522185948
2,122,29.9798641185,-0.0,0.997764290624
3,122,30.0697961777,-0.0,0.228482842041
4,122,30.1597282369,-0.0,-0.650286054723
5,122,30.2496602961,-0.0,-1.49620596775
6,122,30.3395923554,-0.0,-2.1669404657
7,122,30.4295244146,-0.0,-2.59565806719
8,122,30.5194564738,-0.0,-2.90428123604
9,122,30.609388533,-0.0,-3.11900406044
10,122,30.6993205923,-0.0,-3.2597634303
11,122,30.7892526515,-0.0,-3.3464962351
12,122,30.8791847107,-0.0,-3.40026186673
13,122,30.96911677,-0.0,-3.4448759482
14,122,31.0590488292,-0.0,-3.45421260613
15,122,31.1489808884,-0.0,-3.38983215886
16,122,31.2389129476,-0.0,-3.21329492463
17,122,31.3288450069,-0.0,-2.88616122128
18,122,31.4187770661,-0.0,-2.36556565679
19,122,31.5,-0.0,-1.73308460493
0,122,29.8,-1.0,1.77318555312
1,122,29.8899320592,-1.0,1.61503310498
2,122,29.9798641185,-1.0,1.16411284369
3,122,30.0697961777,-1.0,0.502525318764
4,122,30.1597282369,-1.0,-0.248566177083
5,122,30.2496602961,-1.0,-0.967998350804
6,122,30.3395923554,-1.0,-1.53460790985
7,122,30.4295244146,-1.0,-1.88960583531
8,122,30.5194564738,-1.0,-2.13440076689
9,122,30.609388533,-1.0,-2.29527607119
10,122,30.6993205923,-1.0,-2.39342851993
11,122,30.7892526515,-1.0,-2.45005488455
12,122,30.8791847107,-1.0,-2.48648073803
13,122,30.96911677,-1.0,-2.51343083331
14,122,31.0590488292,-1.0,-2.51037421128
15,122,31.1489808884,-1.0,-2.45193891863
16,122,31.2389129476,-1.0,-2.31275300202
17,122,31.3288450069,-1.0,-2.06744450779
18,122,31.4187770661,-1.0,-1.67950185632
19,122,31.5,-1.0,-1.20212219146
0,122,29.8,-2.0,1.83591500803
1,122,29.8899320592,-2.0,1.68531180976
2,122,29.9798641185,-2.0,1.29366678867
3,122,30.0697961777,-2.0,0.727710667853
4,122,30.1597282369,-2.0,0.0899481829362
5,122,30.2496602961,-2.0,-0.517115930164
6,122,30.3395923554,-2.0,-0.990976935942
7,122,30.4295244146,-2.0,-1.27997241256
8,122,30.5194564738,-2.0,-1.46748262992
9,122,30.609388533,-2.0,-1.57978718604
10,122,30.6993205923,-2.0,-1.6391057027
11,122,30.7892526515,-2.0,-1.66765780154
12,122,30.8791847107,-2.0,-1.68704890998
13,122,30.96911677,-2.0,-1.69824982623
14,122,31.0590488292,-2.0,-1.68483799265
15,122,31.1489808884,-2.0,-1.6311226692
16,122,31.2389129476,-2.0,-1.52141311586
17,122,31.3288450069,-2.0,-1.34001859233
18,122,31.4187770661,-2.0,-1.05969749386
19,122,31.5,-2.0,-0.714774824366
0,122,29.8,-3.0,1.89007673235
1,122,29.8899320592,-3.0,1.74647622067
2,122,29.9798641185,-3.0,1.4070926047
3,122,30.0697961777,-3.0,0.925266486739
4,122,30.1597282369,-3.0,0.387055057139
5,122,30.2496602961,-3.0,-0.121484493495
6,122,30.3395923554,-3.0,-0.514294974895
7,122,30.4295244146,-3.0,-0.746025470905
8,122,30.5194564738,-3.0,-0.884201022825
9,122,30.609388533,-3.0,-0.955036199861
10,122,30.6993205923,-3.0,-0.98158684802
11,122,30.7892526515,-3.0,-0.986908813258
12,122,30.8791847107,-3.0,-0.992865382048
